,store_id,day,start_time_local,end_time_local
143,5366072592790137092,0,00:00:00,00:29:00
326,7001015127375054226,4,00:00:00,00:29:00
534,8167861777770124168,4,00:00:00,00:30:00
535,8167861777770124168,5,00:00:00,00:30:00
646,3355650025131059565,0,00:00:00,00:45:00
647,3355650025131059565,5,00:00:00,00:45:00
648,3355650025131059565,6,00:00:00,00:45:00
651,7186159957839323524,5,00:00:00,00:45:00
652,7186159957839323524,0,00:00:00,00:45:00
653,7186159957839323524,6,00:00:00,00:45:00
658,6393855138573945748,0,00:00:00,00:45:00
659,6393855138573945748,6,00:00:00,00:45:00
660,6393855138573945748,5,00:00:00,00:45:00
661,2429898146291919515,5,00:00:00,00:45:00
662,2429898146291919515,6,00:00:00,00:45:00
663,2429898146291919515,0,00:00:00,00:45:00
667,6243851406198325678,5,00:00:00,00:45:00
668,6243851406198325678,6,00:00:00,00:45:00
669,6243851406198325678,0,00:00:00,00:45:00
678,2571476781076473087,6,00:00:00,00:45:00
679,2571476781076473087,5,00:00:00,00:45:00
680,2571476781076473087,0,00:00:00,00:45:00
1378,4921318406079072062,5,00:00:00,01:00:00
1379,4921318406079072062,6,00:00:00,01:00:00
1676,7681219113084292190,5,00:00:00,01:00:00
1677,7681219113084292190,6,00:00:00,01:00:00
1721,1869238669889378147,5,00:00:00,01:00:00
1722,1869238669889378147,6,00:00:00,01:00:00
2732,5437414992872782794,0,00:00:00,01:00:00
3221,7042794996615483386,1,00:00:00,01:00:00
3222,7042794996615483386,3,00:00:00,01:00:00
3223,7042794996615483386,4,00:00:00,01:00:00
3425,222120335767680780,5,00:00:00,01:30:00
3426,222120335767680780,6,00:00:00,01:30:00
3533,6251702277533981511,6,00:00:00,01:30:00
3534,6251702277533981511,5,00:00:00,01:30:00
3572,7516542846385307227,3,00:00:00,01:30:00
3573,7516542846385307227,2,00:00:00,01:30:00
3574,7516542846385307227,1,00:00:00,01:30:00
3575,6064066189457611359,6,00:00:00,01:30:00
3576,6064066189457611359,5,00:00:00,01:30:00
3579,1438440129937723749,6,00:00:00,01:30:00
3580,1438440129937723749,5,00:00:00,01:30:00
3590,6087083978055560812,6,00:00:00,01:30:00
3591,6087083978055560812,5,00:00:00,01:30:00
